011;510;014893
011;520;020074
011;520;020076
011;520;020075
011;520;020077
011;520;020078
011;510;014894
012;520;010329
014;510;007532
014;540;016813
016;510;010274
018;540;005460
018;540;005461
018;540;005462
019;510;010517
019;510;010518
020;510;009630
020;510;009631
022;530;025013
022;530;025015
022;530;025014
022;540;012575
022;540;012576
022;540;012577
022;520;026154
023;520;013595
023;520;013596
023;520;013592
023;520;013593
023;520;013594
026;540;019187
026;530;022876
026;540;019188
026;530;022875
026;540;019186
031;540;022033
031;540;022035
031;540;022034
032;520;028408
032;520;028409
032;520;028410
032;540;016109
032;520;028407
032;530;020888
032;540;016110
032;530;020889
033;510;022557
033;520;013362
033;530;016619
034;520;023429
034;510;027047
034;520;023430
034;520;023431
034;520;023432
034;520;023433
038;510;010282
038;510;010283
039;510;023237
039;510;023238
039;510;023239
039;510;023236
039;510;023234
039;510;023235
040;520;035562
040;520;035558
040;540;035465
040;540;035466
040;520;035557
040;540;035467
040;540;035468
040;520;035559
040;540;035469
040;540;035470
040;540;035471
040;540;035472
040;520;035560
040;520;035561
040;520;035563
062;530;019028
046;540;029325
046;540;029326
046;540;029327
046;550;010233
046;540;029332
046;550;010230
046;550;010231
043;510;013602
044;520;013437
044;510;011812
045;510;018106
045;520;016564
050;530;006571
054;530;012798
054;530;012799
069;530;021942
069;540;013603
069;520;028190
069;520;028191
051;510;017310
051;510;017311
051;530;027252
046;550;010226
046;550;010227
046;550;010228
046;550;010229
046;540;029322
046;550;010232
046;540;029323
046;540;029324
046;550;010234
046;550;010235
046;540;029328
046;550;010236
046;540;029329
046;540;029330
046;540;029331
059;510;014303
059;510;014304
069;530;021944
042;520;014905
042;520;014904
042;520;014906
076;530;027591
076;530;027592
072;530;022224
072;530;022225
072;510;004704
072;530;022223
072;540;019159
076;540;031033
075;530;005542
075;530;005541
075;510;019871
075;520;015047
075;520;015046
075;510;019872
061;510;021737
061;510;021738
061;520;014319
061;510;021736
062;520;022558
062;520;022559
062;520;022557
073;520;033265
073;520;033266
073;520;033267
073;520;033268
073;520;033269
073;520;033270
073;530;029875
066;510;029019
066;510;029014
066;510;029015
066;510;029016
066;510;029017
066;510;029018
066;510;029020
066;510;029021
074;540;024120
074;540;024121
074;540;024122
074;540;024123
074;550;017678
074;550;017679
074;540;024124
074;530;025080
074;530;025081
058;510;022965
058;510;022966
058;510;022967
058;510;022968
058;510;022969
058;520;020710
058;520;020711
074;530;025078
074;530;025079
